feature,importances_mean,importances_std
WheelTypeID,0.024774051474973646,0.000669879790739787
Auction,0.003991374959856908,0.0005781340185171962
BYRNO,0.001449740790017029,0.00017792099306937045
day_of_week_0,0.0011469468275451477,0.0002479103745672717
VehicleAge,0.0010643666559618792,0.0004238678519961859
State_Lemon_Grades,0.0007432215442492618,0.00016259159651943735
Cost_Buffer,0.0006055879249438512,0.00014623459604998015
VehOdo,0.00048630545487915455,0.00011086888997197826
Expected_Profit,0.00046795430563839613,0.0001101068954443285
VehBCost,0.0003119695370922937,0.00026338854143978876
Retired_Prob,0.0002018626416479652,9.882396306160743e-05
Transmission,0.0001009313208240048,0.00010621495529465132
WarrantyCost,9.175574620361449e-05,0.00015353673010671878
FT_Prob,8.258017158329079e-05,0.00018212995587722606
IsOnlineSale,7.340459696294487e-05,2.247547591673334e-05
TopThreeAmericanName,7.340459696294487e-05,0.00010299556966848862
Gender_Proportion,5.505344772220866e-05,7.893127739636312e-05
day_of_week_2,5.5053447722186456e-05,4.495095183342589e-05
PT_Prob,2.7526723861126533e-05,6.86637131123531e-05
day_of_week_1,1.835114924078063e-05,5.505344772215685e-05
day_of_week_3,9.175574620412519e-06,8.409553048505181e-05
day_of_week_5,0.0,0.0
day_of_week_6,0.0,0.0
month,-9.175574620345905e-06,9.79683282289417e-05
day_of_week_4,-2.752672386101551e-05,6.223177486008332e-05
Unemployed_Prob,-3.6702298481405826e-05,9.357286807528466e-05
VehYear,-0.0002844428132311227,0.00030487218838991226
